round_epochs,val_loss,val_binary_accuracy,loss,binary_accuracy,dropout,first_neuron,activation,optimizer,epochs,batch_size
6,1.2678005695343018,0.8666666746139526,0.22776433951007674,0.9857142840112959,0.25,128,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,1.9373853206634521,0.7666666507720947,0.006093245169540751,1.0,0.75,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,0.9749463200569153,0.8999999761581421,1.416870842620353e-07,1.0,0.25,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,1.2136590480804443,0.800000011920929,0.00024048670529737138,1.0,0.25,16,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,0.7522103190422058,0.8999999761581421,1.8532335995960888e-06,1.0,0,128,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,0.8540124893188477,0.8999999761581421,1.3457084609821582e-07,1.0,0.75,256,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,64
6,1.7583905458450317,0.800000011920929,0.0037437579461506434,1.0,0.75,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,0.6416951417922974,0.9333333373069763,0.2277484969313834,0.9857142857142858,0.5,256,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,2.6302876472473145,0.8333333134651184,0.6832452050559578,0.9571428571428572,0.75,128,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,0.40937110781669617,0.9333333373069763,0.00018069474068137684,1.0,0.5,32,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,2.170510768890381,0.8333333134651184,0.2277484604370589,0.9857142857142858,0.25,128,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,0.2762162387371063,0.9666666388511658,7.247039860313213e-05,1.0,0.5,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,0.08836720883846283,0.9666666388511658,3.937363840935047e-06,1.0,0,32,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,0.8510897755622864,0.9333333373069763,9.80704091290363e-05,1.0,0.5,32,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,0.30325374007225037,0.8999999761581421,0.0048319713462011095,1.0,0.75,16,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,64
6,1.2961678504943848,0.8999999761581421,6.83249455895358e-07,1.0,0,128,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,0.7072604894638062,0.9333333373069763,2.4167780929928993e-05,1.0,0.25,32,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,1.9248731136322021,0.8666666746139526,1.920284700267822e-05,1.0,0.5,128,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,2.9898645877838135,0.7333333492279053,0.1420079216361046,0.9857142857142858,0.75,64,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,1.3121389150619507,0.800000011920929,0.0020603542349168233,1.0,0.75,16,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,0.14506976306438446,0.9333333373069763,0.0001399757528166187,1.0,0,16,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,64
6,0.7429015040397644,0.8333333134651184,0.0021407419796105388,1.0,0.75,64,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,1.4995759725570679,0.8666666746139526,4.475494293387783e-07,1.0,0,128,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,0.8067643046379089,0.9333333373069763,8.209536984184394e-07,1.0,0,32,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,2.052725076675415,0.7666666507720947,0.24700603743380448,0.9714285714285714,0.75,128,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,0.18849405646324158,0.9666666388511658,0.005041224973891595,1.0,0,16,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,3.329498291015625,0.699999988079071,0.6675656590563773,0.9571428571428572,0.75,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,1.8313252925872803,0.8666666746139526,4.892428933739471e-05,1.0,0.5,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,1.3525596857070923,0.800000011920929,0.0017534156504666499,1.0,0.5,16,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,0.6423901319503784,0.8999999761581421,0.0035121216172618527,1.0,0.75,16,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,1.3631569147109985,0.8999999761581421,0.8772037301744734,0.9285714302744185,0,128,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,1.9635082483291626,0.7666666507720947,0.0003970100128624056,1.0,0.75,32,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,0.9695993065834045,0.9333333373069763,0.6369007336213274,0.9285714285714286,0,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,0.9723836183547974,0.8666666746139526,3.9817476499592884e-05,1.0,0.5,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,0.38962382078170776,0.8999999761581421,0.03295457621843525,0.9714285714285714,0.25,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,1.9290729761123657,0.8666666746139526,0.28043911031314306,0.9714285697255816,0.75,256,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,1.6119728088378906,0.8333333134651184,0.00015908730518796282,1.0,0.25,16,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,0.23472078144550323,0.9333333373069763,3.8158578458283694e-07,1.0,0.25,64,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,0.7958666086196899,0.9333333373069763,1.2960199268872786e-05,1.0,0,32,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,0.7140718102455139,0.8999999761581421,0.8234949969488851,0.9142857142857143,0.5,128,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,1.0412760972976685,0.9333333373069763,1.138991369519915,0.9285714285714286,0,32,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,0.9962206482887268,0.800000011920929,0.002388108982340904,1.0,0,64,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,0.7748175263404846,0.8666666746139526,0.0004725135348832867,1.0,0.75,32,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,0.7216879725456238,0.8666666746139526,0.001187001759119864,1.0,0.75,32,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,2.5093424320220947,0.800000011920929,0.2278321637953338,0.9857142857142858,0.25,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
